isin,fund,amfi,json,category,rta_code,amfi_code,type
INF090I01726,Franklin India PRIMA FUND - Dividend Payout,Franklin India PRIMA FUND - IDCW,Franklin India Prima Fund - IDCW - Payout,EQUITY,1,100472,payout/growth
INF090I01734,Franklin India PRIMA FUND - Dividend Reinvestment,Franklin India PRIMA FUND - IDCW,Franklin India Prima Fund - IDCW - Reinvestment,EQUITY,1,100472,reinvest
INF090I01213,Franklin India Equity Fund - DIVIDEND PAYOUT,Franklin India Flexi Cap Fund - IDCW,Franklin India Flexi Cap Fund (Erstwhile Franklin India Equity Fund) - IDCW - Payout,EQUITY,2,100519,payout/growth
INF090I01221,Franklin India Equity Fund - DIVIDEND REINVESTMENT,Franklin India Flexi Cap Fund - IDCW,Franklin India Flexi Cap Fund (Erstwhile Franklin India Equity Fund) - IDCW - Reinvestment,EQUITY,2,100519,reinvest
INF090I01155,Franklin India BLUECHIP FUND - DIVIDEND PAYOUT,Franklin India BLUECHIP FUND - IDCW,Franklin India Bluechip Fund - IDCW - Payout,EQUITY,6,100470,payout/growth
INF090I01163,Franklin India BLUECHIP FUND - DIVIDEND REINVESTMENT,Franklin India BLUECHIP FUND - IDCW,Franklin India Bluechip Fund - IDCW - Reinvestment,EQUITY,6,100470,reinvest
INF090I01510,Franklin India Pension Plan - GROWTH,Franklin India Pension Plan-Growth,Franklin India Pension Plan - Growth,EQUITY,10,100536,payout/growth
INF090I01528,Franklin India Pension Plan - Dividend Payout,Franklin India Pension Plan - IDCW,Franklin India Pension Plan - IDCW - Payout,EQUITY,11,100535,payout/growth
INF090I01536,Franklin India Pension Plan - Dividend Reinvestment,Franklin India Pension Plan - IDCW,Franklin India Pension Plan - IDCW - Reinvestment,EQUITY,11,100535,reinvest
INF090I01DG6,Franklin India Corporate Debt Fund - Plan A - GROWTH,Franklin India Corporate Debt Fund - Growth,Franklin India Corporate Debt Fund - Plan A - Growth,DEBT,12,100528,payout/growth
INF090I01DH4,Franklin India Corporate Debt Fund - Plan A - ANNUAL DIVIDEND Payout,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW - Payout,DEBT,13,100527,payout/growth
INF090I01DI2,Franklin India Corporate Debt Fund - Plan A - ANNUAL DIVIDEND Reinvestment,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW - Reinvestment,DEBT,13,100527,reinvest
INF090I01BB1,Franklin India Liquid Fund - Regular Plan - Growth,Franklin India Liquid Fund - Regular Plan - Growth,Franklin India Liquid Fund - Regular Plan - Growth,DEBT,14,100538,payout/growth
INF090I01DP7,Franklin India Corporate Debt Fund - Plan B - GROWTH,,Franklin India Corporate Debt Fund - Plan B - GROWTH,DEBT,16,,
INF090I01DQ5,Franklin India Corporate Debt Fund - Plan B - ANNUAL DIVIDEND Payout,,Franklin India Corporate Debt Fund - Plan B - ANNUAL DIVIDEND Payout,DEBT,17,,
INF090I01DR3,Franklin India Corporate Debt Fund - Plan B - ANNUAL DIVIDEND Reinvestment,,Franklin India Corporate Debt Fund - Plan B - ANNUAL DIVIDEND Reinvestment,DEBT,17,,
INF090I01AF4,Templeton India CHILDREN's ASSET PLAN EDUCATION -GROWTH,,,,,,
INF090I01AI8,Templeton India CHILDREN's ASSET PLAN GIFT - GROWTH,,,,,,
INF090I01AG2,Templeton India CHILDREN's ASSET PLAN GIFT - Dividend Payout,,,,,,
INF090I01AH0,Templeton India CHILDREN's ASSET PLAN GIFT - Dividend Reinvestment,,,,,,
INF090I01742,Franklin INFOTECH FUND - GROWTH,Franklin India Technology Fund-Growth,Franklin India Technology Fund - Growth,EQUITY,25,100522,payout/growth
INF090I01759,Franklin INFOTECH FUND - Dividend Payout,Franklin India Technology Fund - IDCW,Franklin India Technology Fund - IDCW - Payout,EQUITY,26,100521,payout/growth
INF090I01767,Franklin INFOTECH FUND - Dividend Reinvestment,Franklin India Technology Fund - IDCW,Franklin India Technology Fund - IDCW - Reinvestment,EQUITY,26,100521,reinvest
INF090I01775,Franklin India TAXSHIELD - GROWTH,Franklin India Taxshield-Growth,Franklin India Taxshield - Growth,EQUITY,34,100526,payout/growth
INF090I01783,Franklin India TAXSHIELD - Dividend Payout,Franklin India TAXSHIELD - IDCW,Franklin India Taxshield - IDCW - Payout,EQUITY,35,100525,payout/growth
INF090I01791,Franklin India TAXSHIELD - Dividend Reinvestment,Franklin India TAXSHIELD - IDCW,Franklin India Taxshield - IDCW - Reinvestment,EQUITY,35,100525,reinvest
INF090I01809,Franklin India PRIMA FUND - GROWTH,Franklin India Prima Fund-Growth,Franklin India Prima Fund - Growth,EQUITY,36,100473,payout/growth
INF090I01239,Franklin India Equity Fund - GROWTH,Franklin India Flexi Cap Fund - Growth,Franklin India Flexi Cap Fund (Erstwhile Franklin India Equity Fund) - Growth,EQUITY,37,100520,payout/growth
